COUNTRY,,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,NOTES
Tourism expenditure in other countries - US$ Mn,,IMF,320,298,318,327,395,425,423,550,492,528,574,639,671,704,597,684,899,975,"1,001",758,942,"1,921","1,823",
Travel - US$ Mn,,IMF,122,109,122,142,212,224,250,380,372,387,414,455,479,503,408,506,718,814,839,611,822,"1,891","1,791",
Passenger transport - US$ Mn,,IMF,198,189,196,185,183,201,173,170,120,141,160,184,192,201,189,178,181,161,162,147,120,30,32,
BANGLADESH,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,156,166,182,172,173,199,207,207,245,271,208,200,289,467,267,303,155,125,148,125,..,..,..,
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,59,59,76,82,..,..,..,77,103,97,105,131,154,150,214,344,
Travel - US$ Mn,,IMF,25,33,62,52,50,50,48,57,57,67,75,79,76,75,70,81,87,103,129,153,150,214,337,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,2,2,9,7,..,..,..,7,22,10,2,2,1,0.3,0.3,7,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,830,911,866,992,"1,103","1,128","1,075","1,158","1,414","1,565","1,767","1,819","2,327",875,"2,254","1,913","2,127","2,273","1,460",..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,251,314,294,375,471,341,309,389,442,371,481,530,735,651,835,819,889,"1,308",782,827,843,"1,118",
Travel - US$ Mn,,IMF,234,135,178,151,211,290,165,113,165,161,141,142,156,184,249,261,332,304,350,400,427,484,607,
Passenger transport - US$ Mn,,IMF,..,116,136,143,164,181,176,196,224,281,230,339,374,551,402,574,487,585,958,382,400,359,511,
BARBADOS,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
