COUNTRY,,Series,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,NOTES
Arrivals - Thousands,,TF,442,447,472,512,515,545,507,498,531,552,548,563,575,568,519,532,568,536,509,521,592,632,664,
Tourism expenditure in the country - US$ Mn,,IMF,630,667,672,721,697,733,706,666,767,784,"1,081","1,235","1,224","1,244","1,122","1,074",983,947,992,..,..,..,..,
Travel - US$ Mn,,IMF,622,659,663,712,687,723,697,658,758,775,"1,073","1,228","1,217","1,237","1,112","1,071",970,929,973,887,947,"1,040","1,064",
Passenger transport - US$ Mn,,IMF,8,8,9,9,10,10,9,8,9,9,8,7,7,7,10,3,13,18,19,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,110,114,120,126,132,141,149,146,153,163,274,284,290,279,293,351,124,84,78,..,..,..,..,
Travel - US$ Mn,,IMF,71,74,79,82,87,94,101,99,104,108,217,222,212,205,216,274,65,47,43,..,..,..,..,
Passenger transport - US$ Mn,,IMF,39,40,41,44,45,47,48,47,49,55,57,62,78,74,77,77,59,37,35,..,..,..,..,
BELARUS,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TCE,..,..,..,363,315,262,221,209,229,239,253,292,368,477,512,677,783,993,"1,003","1,080",966,"1,929","2,000","1/ Data until 2015 without taking into account the Belarusian-Russian border segment; data for 2016 including estimation of the Belarusian-Russian border segment.
2/ Until 2011, Package tour only.
3/ Package tour only."
Arrivals - Thousands,1/ 2/,TF,161,234,254,355,75,60,61,63,64,67,91,89,105,91,95,119,116,"6,130","6,242","5,375","4,386","10,935","11,060",
Tourism expenditure in the country - US$ Mn,,IMF,28,61,40,54,92,188,272,295,339,362,346,401,479,585,563,665,747,986,"1,156","1,230","1,013","1,019","1,134",
Travel - US$ Mn,,IMF,23,55,25,22,12,93,211,234,267,270,253,286,324,363,370,440,487,685,791,868,729,711,801,
Passenger transport - US$ Mn,,IMF,5,6,15,32,80,95,61,61,72,92,93,115,155,222,193,225,260,301,365,362,284,308,333,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,3/,TF,626,703,969,901,934,"1,289","1,387","1,436","1,108",515,572,525,517,380,316,415,320,493,708,741,671,467,706,
Tourism expenditure in other countries - US$ Mn,,IMF,101,142,122,138,133,247,486,527,436,500,516,675,724,860,752,748,729,948,"1,333","1,308",997,891,"1,082",
Travel - US$ Mn,,IMF,87,119,114,124,116,216,454,493,399,450,448,586,606,716,639,622,588,789,"1,153","1,159",901,800,983,
Passenger transport - US$ Mn,,IMF,14,23,8,14,17,31,32,34,37,50,68,89,118,144,113,126,141,159,180,149,96,91,99,
BELGIUM,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TCE,"5,560","5,829","6,037","6,179","6,369","6,457","6,452","6,720","6,690","6,710","6,747","6,995","7,045","7,165","6,815","7,186","7,494","7,560","7,684","7,887","8,355","7,481","8,385","1/ Due to a change in the methodology, from 2015 the data are not comparable with those of previous years.
2/ 1995-2001: country data."
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,"8,304","7,598","8,848","10,089","10,881","11,625","12,371",..,..,..,..,"13,711","14,536","15,244","13,073","12,697","13,750",
Travel - US$ Mn,2/,IMF,"4,548","4,844","4,529","4,623","6,472","6,592","6,887","6,935","8,193","9,208","9,845","10,311","11,017","12,018","11,423","11,395","12,742","12,504","13,385","13,914","11,964","11,559","12,506",
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,"1,417",663,655,881,"1,036","1,314","1,354",..,..,..,..,"1,207","1,151","1,330","1,109","1,138","1,244",
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,..,"5,645","7,548","7,776","6,410","7,932","6,570","6,773","7,268","8,783","9,327","7,852","8,371","8,887","8,775","8,801","9,727","9,576","10,803","10,991","10,835","13,372","12,153",
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,..,"10,878","11,270","13,402","15,456","16,771","17,891","19,215",..,..,..,..,"22,367","24,511","26,435","21,123","21,519","22,995",
Travel - US$ Mn,2/,IMF,"8,115","8,591","7,895","8,311","9,775","9,429","9,776","10,185","12,210","13,956","14,948","15,574","17,506","19,514","19,045","18,866","20,658","20,174","22,160","23,812","18,922","19,436","20,814",
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,"1,102","1,085","1,192","1,500","1,823","2,317","1,709",..,..,..,..,"2,193","2,351","2,623","2,201","2,083","2,181",
BELIZE,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,131,133,146,176,181,196,196,200,221,231,237,247,251,245,232,242,250,277,294,321,341,386,427,
Tourism expenditure in the country - US$ Mn,,IMF,..,95,97,101,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,78,93,95,99,101,111,111,121,150,168,214,260,289,278,256,264,248,298,351,380,372,391,427,
Passenger transport - US$ Mn,,IMF,..,2,2,2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,33,38,30,33,39,44,45,48,50,47,45,43,46,44,43,39,37,39,42,51,50,55,53,
Travel - US$ Mn,,IMF,21,26,18,21,36,40,42,44,46,43,42,41,43,41,41,36,34,37,40,49,47,53,51,
Passenger transport - US$ Mn,,IMF,12,12,12,12,3,4,3,4,4,4,3,2,3,3,2,3,3,2,2,2,3,2,2,
BENIN,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,138,143,148,152,80,96,88,72,175,174,176,180,186,188,190,199,209,220,231,242,255,267,281,
Tourism expenditure in the country - US$ Mn,,IMF,..,79,56,64,94,77,86,95,108,121,108,122,206,236,131,149,201,174,193,153,148,129,..,
Travel - US$ Mn,,IMF,85,79,56,64,94,77,85,93,106,118,103,116,206,236,131,149,180,170,189,151,141,123,..,
Passenger transport - US$ Mn,,IMF,..,0,0,0,0,0,1,2,2,3,5,6,0.3,0.4,0.4,0.4,21,4,4,2,7,6,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,48,51,34,32,63,50,48,49,53,59,58,71,107,102,88,91,81,96,40,54,141,87,..,
Travel - US$ Mn,,IMF,35,29,16,20,26,12,17,20,21,29,27,34,72,64,53,57,53,43,39,54,62,64,..,
Passenger transport - US$ Mn,,IMF,13,22,18,12,37,38,31,29,32,30,31,37,35,38,35,34,28,53,1,0.2,79,23,..,
BERMUDA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,387,390,380,370,355,332,278,284,257,272,270,299,306,264,236,232,236,232,236,224,220,244,270,"1/ Arrivals by air. Excluding nationals residing abroad.
2/ 1995-2005: country data."
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,500,448,447,407,370,441,513,
Travel - US$ Mn,2/,IMF,488,472,478,487,479,431,351,378,348,426,429,495,569,431,366,442,493,441,439,401,370,441,513,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,7,8,6,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,..,..,..,..,..,..,140,145,141,156,161,170,181,192,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,394,453,459,407,417,326,327,322,378,363,373,369,
Travel - US$ Mn,2/,IMF,..,..,..,..,..,..,..,243,248,217,239,268,288,307,295,301,216,221,222,264,244,249,255,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,126,165,152,112,116,110,106,100,114,119,124,114,
BHUTAN,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,5,5,5,6,7,8,6,6,6,9,14,17,21,28,23,41,66,105,116,133,155,210,255,"1/ The huge margin of difference from 2010 as compared to the previous years is because starting from 2010 the regional high end tourists are included in the total figures.
2/ 1995-2005: country data."
Tourism expenditure in the country - US$ Mn,2/,IMF,5,6,6,8,9,10,9,8,8,13,19,36,47,47,51,64,76,93,116,120,120,139,105,
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,23,28,37,42,40,47,61,83,84,94,92,105,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,13,19,10,9,24,29,32,33,36,26,47,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,65,34,43,58,69,67,45,44,52,61,
Travel - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,22,26,64,33,41,56,67,64,42,40,51,61,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,..,..,..,..,1,1,2,2,2,3,3,4,1,..,
"BOLIVIA, PLURINATIONAL STATE OF",,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,284,313,355,387,342,319,316,334,427,480,524,521,573,594,599,679,711,798,798,871,882,959,"1,134",
Tourism expenditure in the country - US$ Mn,,IMF,92,100,129,137,124,101,119,143,243,283,345,330,326,302,306,339,499,631,639,746,810,827,919,
Travel - US$ Mn,,IMF,55,61,64,69,87,68,76,100,166,192,239,244,292,275,279,310,380,594,574,664,699,713,784,
Passenger transport - US$ Mn,,IMF,37,39,65,68,37,33,43,43,77,91,106,86,34,27,27,29,119,37,65,82,111,114,135,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,249,269,285,299,253,201,222,217,304,346,386,472,526,589,518,604,775,788,837,932,965,"1,048","1,105",
Tourism expenditure in other countries - US$ Mn,,IMF,72,87,96,98,117,116,114,114,197,232,257,360,385,381,388,421,410,502,660,953,849,960,"1,017",
Travel - US$ Mn,,IMF,48,54,57,60,75,77,83,80,138,164,186,273,304,281,290,313,298,361,521,808,711,818,860,
Passenger transport - US$ Mn,,IMF,24,33,39,38,42,39,31,34,59,68,71,87,81,100,98,108,112,141,139,145,138,142,157,
BONAIRE,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,59,65,63,62,61,51,50,52,62,63,63,64,74,74,67,71,..,..,..,..,..,..,..,1/ Source: Central Bank of the Netherlands Antilles.
Tourism expenditure in the country - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,1/,CB,37,42,44,43,45,59,64,65,84,87,87,91,110,121,107,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,1/,CB,..,..,..,10,8,3,2,2,3,6,5,5,6,7,7,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
BOSNIA AND HERZEGOVINA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TCE,..,..,115,148,147,171,139,160,165,190,217,256,306,322,311,365,392,439,529,536,678,778,923,
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,257,258,246,279,307,404,507,557,658,804,913,753,662,722,686,752,755,702,773,894,
Travel - US$ Mn,,IMF,..,..,..,247,245,233,265,288,377,481,519,607,724,825,674,589,635,615,685,707,660,726,836,
Passenger transport - US$ Mn,,IMF,..,..,..,10,13,13,14,19,27,26,38,51,80,88,79,73,87,71,67,48,42,47,58,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,97,101,92,96,112,145,162,158,210,264,345,285,247,214,196,198,205,195,206,257,
Travel - US$ Mn,,IMF,..,..,..,81,83,73,74,85,106,117,122,170,203,281,231,194,160,139,133,127,123,140,157,
Passenger transport - US$ Mn,,IMF,..,..,..,16,18,19,22,27,39,45,36,40,61,64,54,53,54,57,65,78,72,66,100,
BOTSWANA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,521,512,607,750,843,"1,104","1,193","1,274","1,406","1,523","1,474","1,426","1,736","2,101","1,721","1,973",..,"1,614","1,544","1,966","1,528","1,574",..,
Tourism expenditure in the country - US$ Mn,,IMF,176,105,141,179,239,227,235,324,459,582,563,540,548,511,664,512,550,607,568,621,631,580,705,
Travel - US$ Mn,,IMF,162,93,136,175,234,222,230,319,457,581,562,538,546,510,663,510,547,604,565,620,630,578,704,
Passenger transport - US$ Mn,,IMF,14,12,5,4,5,5,5,5,2,1,1,2,2,1,1,2,3,3,3,1,1,2,1,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,153,92,104,138,155,209,215,197,235,280,283,280,282,230,232,299,316,332,262,277,274,254,276,
Travel - US$ Mn,,IMF,145,78,92,126,147,198,204,184,230,276,282,277,281,229,232,298,316,331,262,276,274,254,276,
Passenger transport - US$ Mn,,IMF,8,14,12,12,8,11,11,13,5,4,1,3,1.3,0.7,0.4,0.5,0.5,1,0.2,1,0.4,0.1,0.3,
BRAZIL,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,"1,991","2,666","2,850","4,818","5,107","5,313","4,773","3,785","4,133","4,794","5,358","5,017","5,026","5,050","4,802","5,161","5,433","5,677","5,813","6,430","6,306","6,547","6,589",1/ Including nationals residing abroad.
Tourism expenditure in the country - US$ Mn,,IMF,"1,085",744,"1,025","1,398","1,718","1,969","1,844","2,142","2,673","3,389","4,168","4,577","5,284","6,109","5,635","5,522","6,370","6,623","6,784","7,405","6,254","6,613","6,175",
Travel - US$ Mn,,IMF,972,718,977,"1,317","1,626","1,810","1,731","1,998","2,479","3,222","3,861","4,316","4,953","5,785","5,305","5,261","6,095","6,378","6,474","6,843","5,844","6,024","5,809",
Passenger transport - US$ Mn,,IMF,113,26,48,81,92,159,113,144,194,167,307,261,331,324,330,261,275,245,310,562,410,589,366,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,"2,600","3,797","4,014","4,171","2,863","3,228","2,674","2,338","3,229","2,968","3,364","3,886","4,662","5,238","4,920","6,457","7,807","8,497","8,866","9,616","9,384","8,592","9,458",
Tourism expenditure in other countries - US$ Mn,,IMF,"3,982","4,988","6,208","6,019","3,551","4,548","3,765","2,929","2,874","3,752","5,905","7,501","10,434","13,269","12,897","18,883","24,608","26,008","29,286","29,998","20,356","17,068","22,991",
Travel - US$ Mn,,IMF,"3,391","4,387","5,419","5,385","3,085","3,894","3,199","2,396","2,261","2,871","4,720","5,764","8,211","10,962","10,898","15,965","20,802","22,039","25,028","25,567","17,357","14,497","19,002",
Passenger transport - US$ Mn,,IMF,591,601,789,634,466,654,566,533,613,881,"1,185","1,737","2,223","2,307","1,999","2,918","3,806","3,969","4,258","4,431","2,999","2,571","3,989",
BRITISH VIRGIN ISLANDS,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,219,244,244,279,284,272,296,282,278,304,337,356,358,346,309,330,338,351,366,386,393,408,335,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
Tourism expenditure in the country - US$ Mn,1/,country,211,227,220,255,339,345,401,345,342,393,412,438,451,446,374,389,388,398,421,459,484,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,VF,..,..,..,..,..,..,..,..,..,..,..,171,166,166,140,151,145,139,..,..,..,..,..,
Departures - Thousands,,TF,79,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,1/,country,40,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
BRUNEI DARUSSALAM,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,VF,498,837,643,964,967,984,840,891,944,..,815,836,877,..,..,..,..,..,..,..,..,..,..,1/ Arrivals by air.
Arrivals - Thousands,1/,TF,..,..,..,..,..,..,..,..,..,119,126,158,179,226,157,214,242,209,225,201,218,219,259,
Tourism expenditure in the country - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,..,..,..,..,..,..,155,113,124,181,191,224,233,242,254,..,..,92,96,79,147,144,177,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,..,..,..,..,..,..,456,398,469,382,374,408,430,459,477,..,..,591,624,616,459,499,504,
Passenger transport - US$ Mn,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
BULGARIA,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,TF,"3,466","2,795","2,980","2,667","2,472","2,785","3,186","3,433","4,048","4,630","4,837","5,158","5,151","5,780","5,739","6,047","6,328","6,541","6,898","7,311","7,099","8,252","8,883",
Tourism expenditure in the country - US$ Mn,,IMF,662,541,517,"1,150","1,184","1,364","1,262","1,392","2,051","2,796","3,063","3,317","4,181","4,852","4,273","3,807","4,297","3,975","4,410","4,518","3,583","4,164","4,678",
Travel - US$ Mn,,IMF,473,388,369,966,932,"1,074",994,"1,096","1,621","2,202","2,412","2,612","3,713","4,306","3,776","3,343","3,764","3,462","3,829","3,927","3,154","3,653","4,114",
Passenger transport - US$ Mn,,IMF,189,153,148,184,252,290,268,296,430,594,651,705,468,546,497,464,533,513,581,591,429,511,564,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,"3,524","3,006","3,059","2,592","2,376","2,337","2,730","3,188","3,403","3,882","4,235","4,180","4,515","5,727","4,993","3,676","3,803","3,758","3,930","4,158","4,632","5,392","6,228",
Tourism expenditure in other countries - US$ Mn,,IMF,312,314,355,654,747,764,836,"1,018","1,467","1,935","1,858","2,099","2,142","2,602","1,955",975,"1,063","1,096","1,342","1,459","1,346","1,636","2,047",
Travel - US$ Mn,,IMF,195,199,222,519,526,538,589,717,"1,033","1,363","1,309","1,478","1,880","2,311","1,755",826,904,923,"1,113","1,202","1,116","1,361","1,695",
Passenger transport - US$ Mn,,IMF,117,115,133,135,221,226,247,301,434,572,549,621,262,291,200,149,159,173,229,257,230,275,352,
BURKINA FASO,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,,THS,124,131,138,160,117,126,128,150,163,222,245,264,289,272,269,274,238,237,218,191,163,152,143,
Tourism expenditure in the country - US$ Mn,,IMF,..,..,..,..,..,23,25,37,38,52,46,55,61,82,99,105,116,128,200,183,152,172,..,
Travel - US$ Mn,,IMF,..,..,..,..,..,19,20,25,24,40,45,53,56,62,66,72,75,84,153,135,109,122,..,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,4,5,12,14,12,1,2,5,20,33,33,41,44,47,48,43,50,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,30,35,36,50,67,74,84,93,110,111,110,129,146,215,176,160,176,..,
Travel - US$ Mn,,IMF,..,..,..,..,..,20,22,22,31,39,46,55,58,63,64,69,72,77,144,132,103,115,..,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,10,13,14,19,28,28,29,35,47,47,41,57,69,71,44,57,61,..,
BURUNDI,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/ 2/,TF,34,27,11,15,26,29,36,74,74,133,148,214,192,202,212,142,144,147,234,235,131,187,299,"1/ Including nationals residing abroad.
2/ From 2010: break in the series due to implementation of improved methodology for distinguishing visitors (tourists) from other travellers."
Tourism expenditure in the country - US$ Mn,,IMF,2,2,1,1,1,1,1,2,1,2,1.9,1.6,2.3,1.6,1.7,2.1,3.7,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,1.4,1.2,0.6,0.4,0.7,0.8,0.5,1.1,0.7,1.2,1.5,1.3,1.3,1.3,1.5,1.8,2.5,1.5,2.3,4.1,2.2,1.9,3,
Passenger transport - US$ Mn,,IMF,1,0.9,0.8,0.9,0.5,0.6,0.4,0.5,0.5,0.6,0.4,0.3,1,0.3,0.2,0.3,1.2,..,..,..,..,..,..,
Outbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Departures - Thousands,,TF,36,35,10,16,27,28,35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
Tourism expenditure in other countries - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,29,62,126,106,151,71,35,49,..,..,..,..,..,..,
Travel - US$ Mn,,IMF,25,12,4,3,2,14,12,14,15,23,60,125,104,144,62,20,31,25,34,38,29,28,24,
Passenger transport - US$ Mn,,IMF,..,..,..,..,..,..,..,..,..,6,2,1,2,7,9,15,18,..,..,..,..,..,..,
CABO VERDE,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound tourism,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrivals - Thousands,1/,TF,28,37,45,52,67,115,134,126,150,157,198,242,267,285,287,336,428,482,503,494,520,598,668,"1/ 1995-1999: arrivals by air.
From 2000 arrivals of non-resident tourists in hotels and similar establishments."
Tourism expenditure in the country - US$ Mn,,IMF,29,37,50,45,56,64,77,100,135,153,177,280,375,432,349,387,438,452,483,453,380,401,462,
Travel - US$ Mn,,IMF,10,11,15,20,29,41,54,65,87,99,122,209,304,352,286,278,368,394,422,405,347,369,437,
